,spot_name,spot_id
128,Trebarwith Strand,584204204e65fad6a77090ae
129,Polzeath,584204204e65fad6a77090b1
130,Daymer Bay,61bd0f16a9fdce2918d7929f
131,Trevone,584204204e65fad6a77090b0
132,Harlyn,584204204e65fad6a77090b2
133,Constantine,584204204e65fad6a77090b3
134,Treyarnon,584204204e65fad6a77090b5
135,Porthcothan Bay,61393250b91b2a581a31dac2
136,Mawgan Porth,584204204e65fad6a77090b6
137,Watergate Bay,5842041f4e65fad6a7708ca6
138,Whipsiderry,584204204e65fad6a77090b7
139,Porth,584204204e65fad6a77090b8
140,Lusty Glaze,584204204e65fad6a77090b9
141,Tolcarne,584204204e65fad6a77090bb
142,Great Western,584204214e65fad6a7709cef
143,Towan,584204204e65fad6a77090bc
144,North Fistral Beach,584204214e65fad6a7709cec
145,South Fistral Beach,584204214e65fad6a7709ced
146,Crantock,584204204e65fad6a77090ba
147,Little Fistral,6139319ef1349483a6f4a13d
148,Cribbar,584204204e65fad6a77090bd
149,Holywell Bay,584204204e65fad6a77090be
150,Perran Sands,584204204e65fad6a77090c0
151,Trevaunance Cove,5842041f4e65fad6a7708c93
152,Perranporth,5842041f4e65fad6a7708c94
153,Porthminster Beach,61bd083337bb4a008eab6844
154,Maenporth Beach,613920f8ef899138b1d66c81
155,Swanpool,584204204e65fad6a77090c3
156,Falmouth,584204204e65fad6a77090c4
157,Pendower Beach,61390740e3a39f95b5bc1f2d
158,Pentewan,604b95b0219e49fe952ac4c0
159,Porthpean,640b9e1bde81d54f6c0e6615
160,Carlyon Beach,640b9e21e920302787e1e81f
161,Par Sands,61c11ab1903b35ad994d54b1
162,Polkerris,61c11bbfda2e0467414ffb2e
163,Looe,640b9e15e92030503ee1e519
164,Millendreath,61c11d00903b3545e94dd9cc
165,Seaton Beach,605e6cf85b5f7230986891c5
166,Downderry,61c11ea39cbe719094f23bcf
167,Portwrinkle,61c11fc624dd6ce08fa45f57
168,Whitsand Bay,584204204e65fad6a77090c5
169,Tregantle,61c120d7903b35ccbc4eaa5c
170,Tresco,61392f9a2ec3df0722c5d226
171,Sennen,5842041f4e65fad6a7708c97
172,Porthcurno,6139269e69981d4386cf134f
173,Gwenver,584204204e65fad6a77090bf
174,Penzance,613927a4208c69f7fad50eeb
175,Marazion,6042629f451c8835aa72b7f6
176,Perranuthnoe,613904450ff37119d27d029b
177,Praa Sands,5842041f4e65fad6a7708c9a
178,Portreath,584204204e65fad6a77090c2
179,Godrevy,584204214e65fad6a7709d2a
180,Porthtowan,5842041f4e65fad6a7708c98
181,Porthleven,5842041f4e65fad6a7708c9b
182,Poldhu Cove,6139244dcd0e0e1d3a25d045
183,Mullion Cove,61392d046b2f9b9daf9c47e2
184,Kennack Sands,61392a6ab1e9d2464de1cd6b
185,Coverack,61392b2e19d668119a27005c
186,Porthoustock,61392e286b2f9b4cda9c47e8
187,Chapel Porth,584204204e65fad6a77090c1
188,Gwithian,5842041f4e65fad6a7708c95
189,Mexico Towans,61bd0cbfc76742be1f419517
190,Hayle Rivermouth,604b97ba2aecfaefc4e3085c
191,Porthkidney Beach,61bd0b08b0079a147f3caf60
192,Carbis Bay,61bd0a2ad7a7347c671c24f3
193,Porthgwidden Beach,61bd094c37bb4a7330aba226
194,Porthmeor,5842041f4e65fad6a7708c96
195,Cemaes Bay,630d3202522784342037e5ae
196,Anglesey (Ynys Môn),604a76c3b550129363c81f35
197,Porth Trecastell,61415d7f29cfc625f2a2e11f
198,Treath Bychan,63225fb339d5dd5a99e50505
199,West Shore Beach,6141605945919884034e7d6f
200,Surf Snowdonia,5a2ae06e0f87fe001a0c70dd
201,Rhosneigr,5b22a67ca3a5da001aeedf21
202,Treaddur bay,61415e97cc95b1546fe6d397
203,Aberffraw,61415e344591986ae24e7d63
204,Dinas Dinlle,61415f0245919818e94e7d69
205,Criccieth,61c6146c18c04623be4047c2
206,Porth Ceiriad,61bd06ead7a734a9ea1b789f
207,Harlech to Barmouth,61415cd71b36d710cf7ffd65
208,Barmouth,584204204e65fad6a77090ca
209,Fairbourne Beach,640b9e4be920309687e1f0c0
210,Tywyn,584204204e65fad6a77090cb
211,Borth,584204204e65fad6a77090cc
212,Aberystwyth,614160edb363db791bc03765
213,Llangrannog,584204204e65fad6a77090cd
214,Aberporth,61c1320d9cbe71119ef621e3
215,Porth Neigwl (Hells Mouth),5842041f4e65fad6a7708cbb
216,Porth Nefyn,61ba79c9e9019c97900590b6
217,Aberdaron,584204204e65fad6a77090c8
218,Whistling Sands,61bb8ce1361293852b2841ba
219,Rhos-on-Sea,61ba78d51679e2b399451275
220,Labrax,6140cf46f6a043abf7fdad9e
221,The Ayre,6140cfe08c7d86d8f879b1ef
222,Laxey Beach,6140d3a77e2c87c01c7cd84f
223,Peel Beach,6140d3351b36d74adc7ffc6d
224,Gansey,6140d15b998a2a7f5d19ad99
225,Isle of Man,613fc5cde77f9977e5b788dc
226,S*** Pipe,6140f1198bf6a013e15a86b0
227,drivers,613fc83eba5f90c218099d1b
228,The Edge,613fc89ddd5942f966d3dd8c
229,The Point,613fc901edea396232f95172
230,Barrel Rock,613fc96e4f03d24f96cfff09
231,Port Erin,6140d077cdf10f738a53340c
232,Castletown,6140d0e47ffe5b1859666ff1
233,St Bees,613fcbc2dbfb963cf4604068
234,Silecroft,613fc71ee22bc76e93ddc007
235,Earnse Bay,640b9e334878eb632d1e7ad0
236,Rossall Point,6140d21bfe354c055f1abffa
237,Blackpool South,613fcd6de22bc77f76ddc00d
238,Fleetwood Beach,6140d2acd097180ddd3bba21
239,Leasowe Bay,640b9e2d4519051575e0c483
240,Helen's Bay,614239eccdfc9b22bb378d99
241,Newcastle,605106bc4ff5b0818d8c3169
242,Bangor,61423984b2d7196cb2151a2d
243,Clogherhead,61418a93f209704043c3f74d
244,Balbriggan,640b9a90b6d7693253947259
245,Barnageara,65b8f58b5010b14bfd97b592
246,Barnageeragh Beach,6567749e417dc28883b07cac
247,Rush North Beach,640b9a77606c4526e5f3da4e
248,Rush South Beach,640b9a7e4878eb8fa41da0da
249,Donabate beach,6142239cd39457745b257e94
250,Velvet Strand,61422289e8d0b30cc9974ee5
251,Sutton Strand,6142221c9195542a00fd7d86
252,Dublin Area,605b6dceefdda960a8618713
253,Sandymount Strand,61418b37e1349310160b21e7
254,Merrion Strand,614221bbb2d719d572151a22
255,Forty Foot,61422423ab734bf0886bca85
256,Whiterock,614223116ecbfe7a0ca3d768
257,Bray,61422490a42e3def9b5640cf
258,Leamore Strand,6142208f29cfc6ea89a2e1ef
259,Magheramore Beach,640b9a838284fe5ccbb0eb82
260,Brittas Bay,640b9a8a8284fec563b0ed14
261,Benone Strand,601b3100d6d158937272f555
262,Portstewart Strand,61423608d3945703ed257eaf
263,Portrush West Strand,60134a34136ae9f69e12cb60
264,Portrush East Strand,603e8d47f6bb50064ca13d84
265,White Rocks,614238f53509a417c0155400
266,Portballintrae,614238586b66f90ea12832a4
267,North Malin,61416fd2b363db2ec6c0376b
268,Culdaff,61417162f6a0434705fdadda
269,Pollan Bay,614170f7a12541fd7d613ae1
270,Tullagh Bay,6141755d41bea2359dd27cb0
271,Leenan Beach,614176bfcdf10f4d1f5334f3
272,Dunree Bay,6141724545919841544e7d75
273,Ballyhiernan Bay,614171d3f6a043921afdade0
274,Rosapenna,61417079aff324524f00b288
275,Dooey Beach,614172bbf6a0438562fdadeb
276,Ballinreavy Strand,614173bcf209705b8bc3f735
277,Malinmore,614174be6f2061c8a0b5bb2e
278,Trawalua Strand,614174428bf6a025ba5a86f3
279,Bundoran,5842041f4e65fad6a7708c3b
280,Tullan Strand,5842041f4e65fad6a7708c3a
281,Rossnowlagh,5842041f4e65fad6a7708c39
282,Ballyheirnan Bay,584204204e65fad6a7709120
283,Dunfanaghy,584204204e65fad6a7709121
284,Magheraroarty Beach,63225b683a522dd4cbb85759
285,Tullaghan Right,584204214e65fad6a7709c0f
286,Tullaghan Left,584204214e65fad6a7709c10
287,Mullaghmore Strand,5842041f4e65fad6a7708c3c
288,Streedagh Strand,5842041f4e65fad6a7708c3f
289,Mullaghmore Head,584204204e65fad6a7709123
290,Ardtermon Strand,614179c98bf6a022515a86fa
291,Strandhill,5842041f4e65fad6a7708b58
292,Dunmoran,5842041f4e65fad6a7708c44
293,Yellow Strand,61417a25aff3245e5900b293
294,Easkey Right,605108f4910e9d6e864795ae
295,Easkey,5842041f4e65fad6a7708c3d
296,Pollacheeny Harbour,6141796b29cfc6010da2e130
297,Kilcummin Harbour,5842041f4e65fad6a7708c3e
298,Enniscrone,584204204e65fad6a7709122
299,Lackan Bay,61422723e8d0b301e3974eeb
300,Carramore,614234a6d394577fdc257ea9
301,Westport ,614235654591982e6f4e7ed7
302,Fanore Beach,640b9e51451905b052e0cc0d
303,Bertra Beach,61422575f754eff9a4ecfb24
304,Bertra Beach (Murrisk),614225683509a458801553ee
305,Oldhead,6142298b42426d2c2a9aba47
306,Carrowmore ,6142350a2df92805df65ff4d
307,Roonagh Pier,61422a039bf873408ff91055
308,Clare Island,614233b266b52d5da76f5264
309,Achill Island,614224ed9bf8738b6cf91041
310,Dugort,61422d0b3509a409e71553f4
311,Keel Beach,584204204e65fad6a7709124
312,Carrowinskey,584204204e65fad6a7709125
313,Inishturk,614234243509a41c481553fa
314,Carrowniskey,6142261529cfc671fea2e1fa
315,Dooagh Strand,61422b3da88aab701e5fbb44
316,Keem Strand,61422a668190f8be0bbca2a6
317,Annagh Strand,6142321ea42fa9c14ec6cc7c
318,Gubnahardia Strand,61422da329cfc6225ea2e205
319,Elly Bay West,61422684a8566acfddac335a
320,Belderra Strand,61422ae2eab5bc09d70fcc60
321,Dooniver,61423287a42fa921eec6cc82
322,Crab Island,5842041f4e65fad6a7708c91
323,Doolin Point,5842041f4e65fad6a7708c90
324,Lahinch Beach,584204204e65fad6a7709126
325,Cornish Left,584204204e65fad6a7709127
326,Sh*t Creek,61417afc83c92b50bdef3767
327,Cregg,61417b6f7e2c87a7a97cd88f
328,Spanish Point Reefs,584204214e65fad6a7709c12
329,Doughmore Bay Beach,61417c02e13493a6cb0b21d1
330,Ballybunion,584204204e65fad6a7709128
331,Banna Beach,584204204e65fad6a770912a
332,Garrywilliam Point,584204204e65fad6a770912c
333,Mossies,61417f34aff324d9bd00b299
334,Brandon Bay,584204204e65fad6a770945c
335,Inch Reef,5842041f4e65fad6a7708c92
336,Inch Strand,584204204e65fad6a770912f
337,Rossbeigh,584204204e65fad6a770912b
338,Reenroe Beach,6141802f29cfc6d6ada2e13b
339,White Strand,614180a483c92b23d2ef376d
340,St. Finian's Bay,61417fc07e2c87ded67cd895
341,Barleycove Beach,640b9e57606c456b7ef4bd0b
342,Bamburgh,5842041f4e65fad6a7708c9f
343,Beadnell Bay,584204204e65fad6a770907c
344,Embleton Bay,5842041f4e65fad6a7708ca0
345,Alnmouth,5842041f4e65fad6a7708c9e
346,Blyth Beach,584204204e65fad6a770907d
347,Seaton Sluice,65c36a8d7c0c29a1bd7fd850
348,Whitley Bay,584204204e65fad6a770907f
349,Cullercoats,61325cedb6396238ebdfd8e6
350,Longsands,584204204e65fad6a7709084
351,South Shields,584204204e65fad6a7709082
352,Sunderland,604a7a8c3a388458aba839b3
353,Steetley Beach,61313ad0f7158a61d3f8e789
354,Seaton Carew,584204204e65fad6a7709081
355,The Gare,6131408465ca88852ab5f08f
356,Marske to Tees,6130067deb3d9f2a79ea34b5
357,Redcar,584204204e65fad6a7709083
358,Saltburn,5842041f4e65fad6a7708c99
359,Sandsend,5842041f4e65fad6a7708c9c
360,Whitby Beach,584204204e65fad6a7709085
361,Scarborough North Bay,584204204e65fad6a7709088
362,South Bay,584204204e65fad6a7709087
363,Cayton Bay,5842041f4e65fad6a7708c9d
364,Filey,613fc40978adcd21f8cb487a
365,Hornsea,584204204e65fad6a7709086
366,Withernsea,613fc07caf6396009292a8a1
367,Sutton on Sea,613fc2c678adcdc5e5cb4874
368,Skegness,613fc35806a1e5c60e2db693
369,Runton,584204214e65fad6a7709cf2
370,Cromer Pier,584204214e65fad6a7709cf3
371,Mundesley,613148d39046a0bb3048b046
372,Bacton,613282a64924a8bf64a65bea
373,Walcott,584204204e65fad6a770909f
374,Sea Palling,61328b40b860000716d8a867
375,Winterton-on-Sea,613295f5735ce57adc5008ad
376,Great Yarmouth,613145d2f73fc6dc80aada92
377,Gorleston,613147a930cae76d3b6f48bb
378,Lowestoft,584204214e65fad6a7709cf5
379,Southwold,584204214e65fad6a7709cf6
380,Walton-on-the-Naze,613bd33b1e5772d2330e6df4
381,Southend on Sea,613bce46e080751d2530bc17
382,Herne Bay,613bd4131e5772d9940e6dfa
383,Main Sands,613fb82de775ff4144eae4e3
384,Joss Bay,584204204e65fad6a7709093
385,Viking Bay,613bd1831e577244cd0e6dee
386,Ramsgate Main Beach,613fba06c6300f068257306d
387,Westcliff Promenade,613fb787e1a9a3e525c48ad5
388,Sandwich Bay,60df8c1353e32275590dc891
389,Folkestone,604bc812c27c3c577be08ac4
390,Dungeness,613bd4d3e2cf5db6fdece9c5
391,Camber Sands,604bca4106f62cd01d31481e
392,Fairlight,613bd55ce2cf5d0c46ece9cb
393,Hastings,613bd276f465600f6b7edb5d
394,Bexhill-on-Sea,613fb969b02b23d3d70ecd2d
395,Pevensey Bay,613fbfa15ca3bc1680db3452
396,Eastbourne,613bcf8be27454d2b96e67ae
397,Birling Gap,613bcd30aef7046f44c02f20
398,Tidemills,613bcecb3d7c4a043b49527e
399,Newhaven,613fbed1dd594237a8d3dd86
400,Brighton Marina,604bc4e9909f8fae5be1a78f
401,Brighton,61ba7029a052dac52a845758
402,Brighton West Pier,5b0d97856f349c001a3b7cab
403,Hove,61ba6e871679e26eb942f058
404,Hot Pipe,601896c5797ce97445fac470
405,Lancing Beach,613bd608196d8505f9f1896c
406,Worthing,5a8f1e23b0f634001ada0b11
407,Littlehampton,613bd0e736d511e73e6b38b9
408,Bognor Regis,61c12f6b903b3557ce519d5a
409,Selsey Beach,61c12ed861c69fe59fa9825d
410,Bracklesham Bay,584204204e65fad6a77090a1
411,East Wittering,584204204e65fad6a770909d
412,West Wittering,604b93727e36356e3c8d9822
413,Hayling Island,604bc67d6bec13ed6e0cf33b
414,Southsea,613be7278a064be58b2b92bf
415,Hill Head,613be4741cd8ffb0726a817f
416,Calshot,613be5026fd17c26d1f9f69c
417,Keyhaven,613be8cc970caf2d3338345f
418,Calais,6418e04a970272093b873860
419,Cap Gris-Nez,6418e050e072f80237025207
420,Wimereux,6418e0576478f04331fa4eed
421,Plage des Bains,6418e2e393265bd05e18b9e4
422,Plage de Fort-Mahon,6418e2f693265b6fc018be43
423,Pourville-sur-Mer,6418e6669702728744888654
424,Petites Dalles,6418dcc39702727ef286792b
425,De Panne,640b970ab6d76928fa93aac0
426,Oostduinkerke,584204204e65fad6a7709608
427,Groenendijk Strand,640b9a024519058f3bdfce2d
428,Nieuwpoort,584204204e65fad6a7709609
