,timestamp_dt,timestamp_timestamp,probability,utcOffset,surf_min,surf_max,surf_optimalScore,surf_plus,surf_humanRelation,surf_raw_min,surf_raw_max,power,swells_0_height,swells_0_period,swells_0_impact,swells_0_power,swells_0_direction,swells_0_directionMin,swells_0_optimalScore,swells_1_height,swells_1_period,swells_1_impact,swells_1_power,swells_1_direction,swells_1_directionMin,swells_1_optimalScore,swells_2_height,swells_2_period,swells_2_impact,swells_2_power,swells_2_direction,swells_2_directionMin,swells_2_optimalScore,swells_3_height,swells_3_period,swells_3_impact,swells_3_power,swells_3_direction,swells_3_directionMin,swells_3_optimalScore,swells_4_height,swells_4_period,swells_4_impact,swells_4_power,swells_4_direction,swells_4_directionMin,swells_4_optimalScore,swells_5_height,swells_5_period,swells_5_impact,swells_5_power,swells_5_direction,swells_5_directionMin,swells_5_optimalScore,speed,direction,directionType,gust,optimalScore,temperature,condition,pressure,binary_rating,scale_rating,qual_rating
5,2024-03-19 05:00:00,1710824400,100,0,4,6,0,True,Chest to 1ft overhead,3.86061,6.03221,2308.87554,9.44882,12,1,2308.87554,281.9,272.265,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.65696,229.96205,Offshore,26.61957,2,11.03461,NIGHT_OVERCAST,1012,1,5,blahblah
2024-03-19 05:00:00,1710824400,100,0,6,10,0,False,Head to 2x overhead,5.841216666666666,9.6998125,2159.55436,9.15354,12,1,2159.55436,287.07,277.885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.65696,229.96205,Cross-shore,26.61957,0,11.03461,NIGHT_OVERCAST,1012,1,10,this is also a test
